Sym,Issuer Name,Cl,CUSIP,Valu,Concentration,Shares,Principal,Option Type,13F_Quarter
TWC,TIME WARNER CABLE INC,COM,88732J207,"373,626",10%,"2,492,835",,,Q1 2015
TWTR,TWITTER INC,COM,90184L102,"363,702",9.80%,"7,262,421",,,Q1 2015
AABA,YAHOO INC,COM,984332106,"297,985",8.00%,"6,706,079",,,Q1 2015
MSGN,MADISON SQUARE GARDEN CO,CL A,55826P100,"238,209",6.40%,"2,814,049",,,Q1 2015
JD,JD COM INC,SPON ADR CL A,47215P106,"213,095",5.70%,"7,253,049",,,Q1 2015
AABA,YAHOO INC,COM,984332106,"203,512",5.50%,"4,580,000",,call,Q1 2015
TSLA,TESLA MTRS INC,COM,88160R101,"138,493",3.70%,"733,662",,,Q1 2015
ADS,ALLIANCE DATA SYSTEMS CORP,COM,18581108,"128,659",3.50%,"434,291",,,Q1 2015
LNKD,LINKEDIN CORP,COM CL A,53578A108,"121,137",3.30%,"484,818",,,Q1 2015
NFLX,NETFLIX INC,COM,64110L106,"118,181",3.20%,"283,619",,,Q1 2015
SIRI,SIRIUS XM HLDGS INC,COM,82968B103,"107,067",2.90%,"28,027,927",,,Q1 2015
LBTYA,LIBERTY GLOBAL PLC,SHS CL A,G5480U104,"90,087",2.40%,"1,750,280",,,Q1 2015
GOOGL,GOOGLE INC,CL A,38259P508,"81,403",2.20%,"146,752",,,Q1 2015
CSGP,COSTAR GROUP INC,COM,22160N109,"78,226",2.10%,"395,418",,,Q1 2015
,LIBERTY MEDIA CORP DELAWARE,CL A,531229102,"77,005",2.10%,"1,997,525",,,Q1 2015
AAPL,APPLE INC,COM,37833100,"74,526",2.00%,"598,938",,,Q1 2015
FB,FACEBOOK INC,CL A,30303M102,"74,208",2.00%,"902,610",,,Q1 2015
FEYE,FIREEYE INC,COM,31816Q101,"68,105",1.80%,"1,735,154",,,Q1 2015
SSYS,STRATASYS LTD,SHS,M85548101,"61,180",1.60%,"1,159,146",,,Q1 2015
SBGI,SINCLAIR BROADCAST GROUP INC,CL A,829226109,"58,988",1.60%,"1,878,000",,,Q1 2015
BIDU,BAIDU INC,SPON ADR REP A,56752108,"56,310",1.50%,"270,200",,,Q1 2015
BABA,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,"55,328",1.50%,"664,685",,,Q1 2015
RLGY,REALOGY HLDGS CORP,COM,75605Y106,"51,443",1.40%,"1,131,110",,,Q1 2015
AMZN,AMAZON COM INC,COM,23135106,"48,557",1.30%,"130,494",,,Q1 2015
ZG,ZILLOW GROUP INC,CL A,98954M101,"43,332",1.20%,"432,019",,,Q1 2015
VIAC,CBS CORP NEW,CL B,124857202,"42,268",1.10%,"697,150",,,Q1 2015
NLSN,NIELSEN N V,COM,N63218106,"38,190",1.00%,"856,861",,,Q1 2015
TCOM,CTRIP COM INTL LTD,AMERICAN DEP SHS,22943F100,"36,631",1.00%,"624,895",,,Q1 2015
BKNG,PRICELINE GRP INC,COM NEW,741503403,"36,554",1.00%,"31,400",,,Q1 2015
SCTY,SOLARCITY CORP,COM,83416T100,"34,561",0.90%,"673,973",,,Q1 2015
MLCO,MELCO CROWN ENTMT LTD,ADR,585464100,"29,581",0.80%,"1,378,412",,,Q1 2015
VIAB,VIACOM INC NEW,CL B,92553P201,"23,905",0.60%,"350,000",,,Q1 2015
WU,WESTERN UN CO,COM,959802109,"20,290",0.50%,"975,000",,,Q1 2015
NTES,NETEASE INC,SPONSORED ADR,64110W102,"19,831",0.50%,"188,333",,,Q1 2015
GRUB,GRUBHUB INC,COM,400110102,"17,831",0.50%,"392,842",,,Q1 2015
T,AT&T INC,COM,00206R102,"16,325",0.40%,"500,000",,,Q1 2015
RAX,RACKSPACE HOSTING INC,COM,750086100,"15,749",0.40%,"305,281",,,Q1 2015
